55
1	4000	2016	6	7	24	0.120000
2	8000	2015	7	12	36	0.180000
3	15000	2014	2	23	48	0.040000
4	1600	2016	3	25	24	0.160000
5	7800	2016	8	27	72	0.070000
6	40000	2013	1	1	86	0.050000
7	23000	2015	12	23	36	0.090000
8	17000	2015	11	22	36	0.200000
9	10000	2014	6	30	54	0.030000
10	2000	2016	3	7	24	0.100000
11	3700	2016	4	30	12	0.100000
12	0	0	0	0	0	0.000000
13	0	0	0	0	0	0.000000
14	0	0	0	0	0	0.000000
15	0	0	0	0	0	0.000000
16	9900	2015	7	22	52	0.040000
17	0	0	0	0	0	0.000000
18	0	0	0	0	0	0.000000
19	0	0	0	0	0	0.000000
20	0	0	0	0	0	0.000000
21	4650	2014	12	15	96	0.200000
22	0	0	0	0	0	0.000000
23	0	0	0	0	0	0.000000
24	0	0	0	0	0	0.000000
25	0	0	0	0	0	0.000000
26	7894	2015	4	25	30	0.070000
27	0	0	0	0	0	0.000000
28	0	0	0	0	0	0.000000
29	0	0	0	0	0	0.000000
30	0	0	0	0	0	0.000000
31	5555	2015	6	25	24	0.120000
32	0	0	0	0	0	0.000000
33	0	0	0	0	0	0.000000
34	0	0	0	0	0	0.000000
35	0	0	0	0	0	0.000000
36	1000	2016	2	21	22	0.090000
37	0	0	0	0	0	0.000000
38	0	0	0	0	0	0.000000
39	0	0	0	0	0	0.000000
40	0	0	0	0	0	0.000000
41	10000	2016	7	18	15	0.040000
42	0	0	0	0	0	0.000000
43	0	0	0	0	0	0.000000
44	0	0	0	0	0	0.000000
45	0	0	0	0	0	0.000000
46	2000	2017	4	22	12	0.120000
47	0	0	0	0	0	0.000000
48	0	0	0	0	0	0.000000
49	0	0	0	0	0	0.000000
50	0	0	0	0	0	0.000000
51	3000	2017	1	22	12	0.120000
52	0	0	0	0	0	0.000000
53	0	0	0	0	0	0.000000
54	0	0	0	0	0	0.000000
55	0	0	0	0	0	0.000000
